"id"	"channel_id"	"tvg_name"	"name"	"sort"	"logo"	"last_program_date"	"last_crawl_dt"	"create_dt"	"descr"	"has_epg"	"ineed"	"source"	"recrawl"	"remark"	"patten"
"1"	"<cctv:cctv1><tvmao:CCTV-CCTV1><zhongshu:cctv1><tvsou:b3666b9d#yangshi><nowtv:G05-541><chuanliu:3342>"	"CCTV1"	"CCTV-1综合"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV1.png"	"2023-03-19"	"2023-03-18 15:26:43.636697"	"2019-03-25 13:19:15.814072"		"1"	"1"	"cctv"	"1"		
"2"	"<cctv:cctv2><tvmao:CCTV-CCTV2><zhongshu:cctv2><tvsou:c5717c2d#yangshi><chuanliu:3351>"	"CCTV2"	"CCTV-2财经"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV2.png"	"2023-03-19"	"2023-03-18 15:26:28.440942"	"2019-09-24 16:19:15.814072"		"1"	"1"	"zhongshu"	"1"		"(cctv|央视)(2(\\D|$)|2??财经)"
"3"	"<cctv:cctv3><tvmao:CCTV-CCTV3><zhongshu:cctv3><tvsou:53eda06f#yangshi><chuanliu:3353>"	"CCTV3"	"CCTV-3综艺"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV3.png"	"2023-03-19"	"2023-03-18 15:26:43.843781"	"2019-03-25 13:19:16.188472"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(3|综艺)"
"4"	"<cctv:cctv4><tvmao:CCTV-CCTV4><zhongshu:cctv4><tvsou:0ccc41bf#yangshi><nowtv:G05-542><chuanliu:3355>"	"CCTV4"	"CCTV-4中文国际"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV4.png"	"2023-03-19"	"2023-03-18 15:26:43.991053"	"2019-03-25 13:19:16.313272"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(4$|4[^k]|中文)"
"5"	"<cctv:cctv5><tvmao:CCTV-CCTV5><zhongshu:cctv5><tvsou:6b26bee1#yangshi><chuanliu:3359>"	"CCTV5"	"CCTV-5体育"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV5.png"	"2023-03-19"	"2023-03-18 15:26:44.150272"	"2019-03-25 13:19:16.469272"		"1"	"1"	"cctv"	"1"		"(cctv|央视)5?($|体育$|体育频道|高清)"
"6"	"<chuanliu:3358><cctv:cctv5plus><tvmao:CCTV-CCTV5-PLUS><zhongshu:cctv5plus><tvsou:e4e3801d#yangshi>"	"CCTV5+"	"CCTV-5+体育赛事"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV5+.png"	"2023-03-19"	"2023-03-18 15:26:44.317812"	"2019-03-25 13:19:16.609672"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(5(\\+|plus)|体育赛事)"
"7"	"<chuanliu:3361><cctv:cctv6><tvmao:CCTV-CCTV6><zhongshu:cctv6><tvsou:ddb707c0#yangshi>"	"CCTV6"	"CCTV-6电影"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV6.png"	"2023-03-19"	"2023-03-18 15:26:44.465249"	"2019-03-25 13:19:16.734472"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(6|电影)"
"8"	"<chuanliu:3363><cctv:cctv7><tvmao:CCTV-CCTV7><zhongshu:cctv7><tvsou:f2d13f2a#yangshi>"	"CCTV7"	"CCTV-7国防军事"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV7.png"	"2023-03-19"	"2023-03-18 15:26:44.674268"	"2019-03-25 13:19:16.874872"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(7|(国防|军事))"
"9"	"<chuanliu:3365><cctv:cctv8><tvmao:CCTV-CCTV8><zhongshu:cctv8><tvsou:13e8f054#yangshi>"	"CCTV8"	"CCTV-8电视剧"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV8.png"	"2023-03-19"	"2023-03-18 15:26:44.845675"	"2019-03-25 13:19:16.999672"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(8|电视)"
"10"	"<chuanliu:3367><cctv:cctvjilu><tvmao:CCTV-CCTV9><zhongshu:cctvjilu><tvsou:8f932b7b#yangshi>"	"CCTV9"	"CCTV-9纪录"	"央视"	"http://epg.51zmt.top:8000/tb1/CCTV/CCTV9.png"	"2023-03-19"	"2023-03-18 15:26:45.022406"	"2019-03-25 13:19:17.124472"		"1"	"1"	"cctv"	"1"		"(cctv|央视)(9|记录)"
