"id"	"dt"	"msg"	"level"
"394"	"2023-03-18 15:26:27.928956"	"2023-03-18	第1天 共有：55 个频道节目表需要获取..."	"1"
"395"	"2023-03-18 15:26:28.185729"	"1/55 1-CCTV-1综合-cctv;共获取节目数量:40,;并已经保存至数据库..."	"1"
"396"	"2023-03-18 15:26:28.432284"	"2/55 2-CCTV-2财经-zhongshu;共获取节目数量:75,;并已经保存至数据库..."	"1"
"397"	"2023-03-18 15:26:28.635180"	"3/55 3-CCTV-3综艺-cctv;共获取节目数量:23,;并已经保存至数据库..."	"1"
"398"	"2023-03-18 15:26:28.806283"	"4/55 4-CCTV-4中文国际-cctv;共获取节目数量:40,;并已经保存至数据库..."	"1"
"399"	"2023-03-18 15:26:28.975592"	"5/55 5-CCTV-5体育-cctv;共获取节目数量:21,;并已经保存至数据库..."	"1"
"400"	"2023-03-18 15:26:29.173064"	"6/55 6-CCTV-5+体育赛事-cctv;共获取节目数量:16,;并已经保存至数据库..."	"1"
"401"	"2023-03-18 15:26:29.355576"	"7/55 7-CCTV-6电影-cctv;共获取节目数量:23,;并已经保存至数据库..."	"1"
"402"	"2023-03-18 15:26:29.547862"	"8/55 8-CCTV-7国防军事-cctv;共获取节目数量:34,;并已经保存至数据库..."	"1"
"403"	"2023-03-18 15:26:29.749311"	"9/55 9-CCTV-8电视剧-cctv;共获取节目数量:42,;并已经保存至数据库..."	"1"
"404"	"2023-03-18 15:26:29.940914"	"10/55 10-CCTV-9纪录-cctv;共获取节目数量:27,;并已经保存至数据库..."	"1"
"405"	"2023-03-18 15:26:30.139906"	"11/55 11-CCTV-10科教-cctv;共获取节目数量:39,;并已经保存至数据库..."	"1"
"406"	"2023-03-18 15:26:30.322003"	"12/55 12-CCTV-11戏曲-cctv;共获取节目数量:20,;并已经保存至数据库..."	"1"
"407"	"2023-03-18 15:26:30.501205"	"13/55 13-CCTV-12社会与法-cctv;共获取节目数量:37,;并已经保存至数据库..."	"1"
"408"	"2023-03-18 15:26:30.688283"	"14/55 14-CCTV-13新闻-cctv;共获取节目数量:34,;并已经保存至数据库..."	"1"
"409"	"2023-03-18 15:26:30.883757"	"15/55 15-CCTV-14少儿-cctv;共获取节目数量:15,;并已经保存至数据库..."	"1"
"410"	"2023-03-18 15:26:31.049649"	"16/55 16-CCTV-15音乐-cctv;共获取节目数量:21,;并已经保存至数据库..."	"1"
